slide_no,slide_id,state,description_before_coordinates,latitude,longitude,description_after_coordinates,raw_record
1093,AP/EK/83E03/2021/46,Arunachal Pradesh,"East Kameng Rang Village  slide-4 NH-31, Patiwa Village",27.300611,93.093417,Rock Slide NA,"1093 AP/EK/83E03/2021/46 Arunachal Pradesh East Kameng Rang Village  slide-4 NH-31, Patiwa Village 27.300611 93.093417 Rock Slide NA"
1094,AR/WKG/83A07/2021/019,Arunachal Pradesh,West Kameng NH 13 Slide 16 NH 13/ N of Tinghei,27.300667,92.391833,Debris Slide NA,1094 AR/WKG/83A07/2021/019 Arunachal Pradesh West Kameng NH 13 Slide 16 NH 13/ N of Tinghei 27.300667 92.391833 Debris Slide NA
1095,AP/PAP/83E15/2021/27,Arunachal Pradesh,Papum Pare NE of Hara Appa village slide 2 NE of Hara Appa village,27.300833,93.802833,Debris Slide NA,1095 AP/PAP/83E15/2021/27 Arunachal Pradesh Papum Pare NE of Hara Appa village slide 2 NE of Hara Appa village 27.300833 93.802833 Debris Slide NA
1096,AR/CHNG/83M15/2022/089,Arunachal Pradesh,"Changlang 400 W of New Kamlao NH-315, Jairampur-Manmao road section",27.300945,95.992838,Debris Slide NA,"1096 AR/CHNG/83M15/2022/089 Arunachal Pradesh Changlang 400 W of New Kamlao NH-315, Jairampur-Manmao road section 27.300945 95.992838 Debris Slide NA"
1097,AP/EK/83E03/2021/20,Arunachal Pradesh,East Kameng NH-31 slide-11 NH-39,27.301139,93.091889,Debris Slide NA,1097 AP/EK/83E03/2021/20 Arunachal Pradesh East Kameng NH-31 slide-11 NH-39 27.301139 93.091889 Debris Slide NA
1098,AP/EK/83E03/2021/16,Arunachal Pradesh,East Kameng NH-31 slide-7 NH-35,27.302389,93.055833,Debris Slide NA,1098 AP/EK/83E03/2021/16 Arunachal Pradesh East Kameng NH-31 slide-7 NH-35 27.302389 93.055833 Debris Slide NA
1099,AP/EK/83E03/2021/17,Arunachal Pradesh,East Kameng NH-31 slide-8 NH-36,27.302861,93.050917,Soil / Earth Slide NA,1099 AP/EK/83E03/2021/17 Arunachal Pradesh East Kameng NH-31 slide-8 NH-36 27.302861 93.050917 Soil / Earth Slide NA
1100,AR/CHNG/92A03/2022/077,Arunachal Pradesh,"Changlang 3.3 km E of Rima NH-315, Nampong-Rima Road",27.302949,96.154621,Debris Slide NA,"1100 AR/CHNG/92A03/2022/077 Arunachal Pradesh Changlang 3.3 km E of Rima NH-315, Nampong-Rima Road 27.302949 96.154621 Debris Slide NA"
1101,AP/EK/83E03/2021/15,Arunachal Pradesh,East Kameng NH-31 slide-6 NH-34,27.304361,93.054611,Soil Slide NA,1101 AP/EK/83E03/2021/15 Arunachal Pradesh East Kameng NH-31 slide-6 NH-34 27.304361 93.054611 Soil Slide NA
1102,AR/CHNG/92A03/2022/081,Arunachal Pradesh,"Changlang 700m E of New Potuk NH-315, Nampong-Rima Road",27.305527,96.224831,Debris Slide NA,"1102 AR/CHNG/92A03/2022/081 Arunachal Pradesh Changlang 700m E of New Potuk NH-315, Nampong-Rima Road 27.305527 96.224831 Debris Slide NA"
1103,ARN/LS/83E15/2016/03,Arunachal Pradesh,Lower Subansiri Possa-Potin slide National Highway 713-A,27.307072,93.806008,Debris Slide 17 July 2016,1103 ARN/LS/83E15/2016/03 Arunachal Pradesh Lower Subansiri Possa-Potin slide National Highway 713-A 27.307072 93.806008 Debris Slide 17 July 2016
1104,AP/PAP/83E15/2021/28,Arunachal Pradesh,Papum Pare Appa Village slide Appa Village,27.307111,93.806306,Debris Slide NA,1104 AP/PAP/83E15/2021/28 Arunachal Pradesh Papum Pare Appa Village slide Appa Village 27.307111 93.806306 Debris Slide NA
1105,AR/CHNG/92A03/2022/078,Arunachal Pradesh,"Changlang 400m E of Nogthey NH-315,  Nampong-Rima Road",27.309012,96.158495,Debris Slide NA,"1105 AR/CHNG/92A03/2022/078 Arunachal Pradesh Changlang 400m E of Nogthey NH-315,  Nampong-Rima Road 27.309012 96.158495 Debris Slide NA"
1106,AR/CHNG/92A03/2022/079,Arunachal Pradesh,"Changlang 400m W of Machum NH-315, Nampong-Rima Road",27.313343,96.171327,Debris Slide NA,"1106 AR/CHNG/92A03/2022/079 Arunachal Pradesh Changlang 400m W of Machum NH-315, Nampong-Rima Road 27.313343 96.171327 Debris Slide NA"
1107,AR/CHNG/92A03/2022/080,Arunachal Pradesh,"Changlang 300 SW of Rima NH-315, Nampong-Rima Road",27.315904,96.18349,Debris Slide NA,"1107 AR/CHNG/92A03/2022/080 Arunachal Pradesh Changlang 300 SW of Rima NH-315, Nampong-Rima Road 27.315904 96.18349 Debris Slide NA"
1108,AP/EK/83E03/2021/12,Arunachal Pradesh,East Kameng NH-31 slide-3 NH-31,27.320083,93.050917,Earth Slide NA,1108 AP/EK/83E03/2021/12 Arunachal Pradesh East Kameng NH-31 slide-3 NH-31 27.320083 93.050917 Earth Slide NA
1109,AP/EK/83E03/2021/11,Arunachal Pradesh,East Kameng NH-31 slide-2 NH-31,27.32025,93.053222,Debris Slide NA,1109 AP/EK/83E03/2021/11 Arunachal Pradesh East Kameng NH-31 slide-2 NH-31 27.32025 93.053222 Debris Slide NA
1110,AR/WKG/83A07/2021/020,Arunachal Pradesh,West Kameng NH 13 Slide 17 NH 13/ N of Dharbu,27.325278,92.373722,Debris Slide NA,1110 AR/WKG/83A07/2021/020 Arunachal Pradesh West Kameng NH 13 Slide 17 NH 13/ N of Dharbu 27.325278 92.373722 Debris Slide NA
1111,AP/PAP/83E15/2021/29,Arunachal Pradesh,"Papum Pare Appa- Potin road slide NE of Appa, Potin village",27.325806,93.822389,Debris Slide NA,"1111 AP/PAP/83E15/2021/29 Arunachal Pradesh Papum Pare Appa- Potin road slide NE of Appa, Potin village 27.325806 93.822389 Debris Slide NA"
1112,AP/EK/83E03/2021/10,Arunachal Pradesh,East Kameng NH-31 slide-1 NH-31,27.325861,93.055472,Debris Slide NA,1112 AP/EK/83E03/2021/10 Arunachal Pradesh East Kameng NH-31 slide-1 NH-31 27.325861 93.055472 Debris Slide NA
1113,AP/EK/83E03/2021/14,Arunachal Pradesh,East Kameng NH-31 slide-5 NH-33,27.327333,93.043611,Soil Slide NA,1113 AP/EK/83E03/2021/14 Arunachal Pradesh East Kameng NH-31 slide-5 NH-33 27.327333 93.043611 Soil Slide NA
1114,AP/PAP/83E15/2021/44,Arunachal Pradesh,Papum Pare Potin-Yazali road slide 4 Potin-Yazali road,27.327583,93.813389,Debris Slide NA,1114 AP/PAP/83E15/2021/44 Arunachal Pradesh Papum Pare Potin-Yazali road slide 4 Potin-Yazali road 27.327583 93.813389 Debris Slide NA
1115,AP/PAP/83E15/2021/45,Arunachal Pradesh,Papum Pare Potin-Yazali road slide 5 Potin-Yazali road,27.328528,93.812528,Debris Slide NA,1115 AP/PAP/83E15/2021/45 Arunachal Pradesh Papum Pare Potin-Yazali road slide 5 Potin-Yazali road 27.328528 93.812528 Debris Slide NA
1116,AP/EK/83E03/2021/09,Arunachal Pradesh,East Kameng North Seppa slide-9 NH-31,27.328611,93.056583,Rock Planar/Wedge failure NA,1116 AP/EK/83E03/2021/09 Arunachal Pradesh East Kameng North Seppa slide-9 NH-31 27.328611 93.056583 Rock Planar/Wedge failure NA
1117,AP/PAP/83E15/2021/43,Arunachal Pradesh,Papum Pare Potin-Yazali road slide 3 Potin-Yazali road,27.334056,93.819417,Debris Slide NA,1117 AP/PAP/83E15/2021/43 Arunachal Pradesh Papum Pare Potin-Yazali road slide 3 Potin-Yazali road 27.334056 93.819417 Debris Slide NA
1118,AP/PAP/83E15/2021/42,Arunachal Pradesh,Papum Pare Potin-Yazali road slide 2 Potin-Yazali road,27.336667,93.820722,Debris Slide NA,1118 AP/PAP/83E15/2021/42 Arunachal Pradesh Papum Pare Potin-Yazali road slide 2 Potin-Yazali road 27.336667 93.820722 Debris Slide NA
1119,AP/PAP/83E15/2021/41,Arunachal Pradesh,Papum Pare Potin-Yazali road slide 1 North of Potin-Yazali road,27.337028,93.821306,Debris Slide NA,1119 AP/PAP/83E15/2021/41 Arunachal Pradesh Papum Pare Potin-Yazali road slide 1 North of Potin-Yazali road 27.337028 93.821306 Debris Slide NA
1120,ARN/LS/83E15/2016/02,Arunachal Pradesh,Lower Subansiri Possa-Potin slide National Highway 713-A,27.339267,93.802581,Debris Slide 16 July 2016,1120 ARN/LS/83E15/2016/02 Arunachal Pradesh Lower Subansiri Possa-Potin slide National Highway 713-A 27.339267 93.802581 Debris Slide 16 July 2016
1121,AP/PAP/83E15/2021/46,Arunachal Pradesh,Papum Pare Potin-Yazali road slide 6 Potin-Yazali road,27.339833,93.805167,Debris Slide NA,1121 AP/PAP/83E15/2021/46 Arunachal Pradesh Papum Pare Potin-Yazali road slide 6 Potin-Yazali road 27.339833 93.805167 Debris Slide NA
1122,AR/WKG/83A07/2021/021,Arunachal Pradesh,West Kameng NH 13 Slide 18 NH 13/ SE of Dirang Village,27.340556,92.274944,Debris Slide NA,1122 AR/WKG/83A07/2021/021 Arunachal Pradesh West Kameng NH 13 Slide 18 NH 13/ SE of Dirang Village 27.340556 92.274944 Debris Slide NA
1123,AP/EK/83E03/2021/08,Arunachal Pradesh,East Kameng North Seppa slide-8 North Seppa,27.342139,93.041583,Earth Slide NA,1123 AP/EK/83E03/2021/08 Arunachal Pradesh East Kameng North Seppa slide-8 North Seppa 27.342139 93.041583 Earth Slide NA
1124,AP/WK/83E12/2008/A-14,Arunachal Pradesh,West Kameng Slide at 5 km N of Dirang,27.345556,92.266389,Debris Flow 2008,1124 AP/WK/83E12/2008/A-14 Arunachal Pradesh West Kameng Slide at 5 km N of Dirang  27.345556 92.266389 Debris Flow 2008
1125,AP/EK/83A15/2021/51,Arunachal Pradesh,East Kameng Sube Village  slide-2 Road to Rang Village,27.34675,93.018528,Debris Slide NA,1125 AP/EK/83A15/2021/51 Arunachal Pradesh East Kameng Sube Village  slide-2 Road to Rang Village 27.34675 93.018528 Debris Slide NA
1126,AP/EK/83A15/2021/52,Arunachal Pradesh,East Kameng Sube Village  slide-3 Road to Rang Village,27.34675,93.018528,Debris Slide NA,1126 AP/EK/83A15/2021/52 Arunachal Pradesh East Kameng Sube Village  slide-3 Road to Rang Village 27.34675 93.018528 Debris Slide NA
1127,AP/EK/83A15/2021/53,Arunachal Pradesh,East Kameng Sube Village  slide-4 Road to Rang Village,27.34675,93.018528,Debris Slide NA,1127 AP/EK/83A15/2021/53 Arunachal Pradesh East Kameng Sube Village  slide-4 Road to Rang Village 27.34675 93.018528 Debris Slide NA
1128,AP/EK/83E03/2021/49,Arunachal Pradesh,East Kameng Rang Village  slide-7 Road to Rang Village,27.347917,93.012194,Earth Slide NA Sl.No. Slide_No State District Slide_Name NH_SH_Location Latitude Longitude Material Involved Movement Type History,1128 AP/EK/83E03/2021/49 Arunachal Pradesh East Kameng Rang Village  slide-7 Road to Rang Village 27.347917 93.012194 Earth Slide NA Sl.No. Slide_No State District Slide_Name NH_SH_Location Latitude Longitude Material Involved Movement Type History
1129,AP/EK/83E03/2021/50,Arunachal Pradesh,East Kameng Sube Village  slide-1 Road to Rang Village,27.347917,93.012194,Earth Slide NA,1129 AP/EK/83E03/2021/50 Arunachal Pradesh East Kameng Sube Village  slide-1 Road to Rang Village 27.347917 93.012194 Earth Slide NA
1130,AP/EK/83E03/2021/47,Arunachal Pradesh,East Kameng Rang Village  slide-5 Road to Rang Village,27.357083,93.026361,Debris Slide NA,1130 AP/EK/83E03/2021/47 Arunachal Pradesh East Kameng Rang Village  slide-5 Road to Rang Village 27.357083 93.026361 Debris Slide NA
1131,AR/WKG/83A03/2021/039,Arunachal Pradesh,West Kameng NH 13 Slide 31 NH 13,27.358194,92.24325,Debris Slide NA,1131 AR/WKG/83A03/2021/039 Arunachal Pradesh West Kameng NH 13 Slide 31 NH 13 27.358194 92.24325 Debris Slide NA
1132,AP/EK/83E03/2021/40,Arunachal Pradesh,East Kameng Patiwa Village slide-1 NH-37,27.361222,93.035778,Debris Slide NA,1132 AP/EK/83E03/2021/40 Arunachal Pradesh East Kameng Patiwa Village slide-1 NH-37 27.361222 93.035778 Debris Slide NA
1133,AR/WKG/83A03/2021/034,Arunachal Pradesh,West Kameng Dirang- Rungkhung Road Section Slide 1 Dirang- Rungkhung Road Section,27.362028,92.244028,Debris Slide NA,1133 AR/WKG/83A03/2021/034 Arunachal Pradesh West Kameng Dirang- Rungkhung Road Section Slide 1 Dirang- Rungkhung Road Section 27.362028 92.244028 Debris Slide NA
1134,AR/WKG/83A03/2021/035,Arunachal Pradesh,West Kameng Dirang- Rungkhung Road Section Slide 2 Dirang- Rungkhung Road Section,27.362444,92.243972,Debris Slide NA,1134 AR/WKG/83A03/2021/035 Arunachal Pradesh West Kameng Dirang- Rungkhung Road Section Slide 2 Dirang- Rungkhung Road Section 27.362444 92.243972 Debris Slide NA
1135,AR/WKG/83A03/2021/036,Arunachal Pradesh,West Kameng Dirang-Rungkhung Road Section Slide 3 Dirang-Rungkhung Road Section,27.363417,92.24375,Debris Slide NA,1135 AR/WKG/83A03/2021/036 Arunachal Pradesh West Kameng Dirang-Rungkhung Road Section Slide 3 Dirang-Rungkhung Road Section 27.363417 92.24375 Debris Slide NA
1136,AP/EK/83E03/2021/48,Arunachal Pradesh,East Kameng Rang Village  slide-6 Road to Rang Village,27.363833,93.025139,Soil Slide NA,1136 AP/EK/83E03/2021/48 Arunachal Pradesh East Kameng Rang Village  slide-6 Road to Rang Village 27.363833 93.025139 Soil Slide NA
1137,AR/WKG/83A03/2021/037,Arunachal Pradesh,West Kameng Dirang Town Baptist Church Slide 1 Dirang-Rungkhung Road Section,27.367611,92.2415,Debris Slide NA,1137 AR/WKG/83A03/2021/037 Arunachal Pradesh West Kameng Dirang Town Baptist Church Slide 1 Dirang-Rungkhung Road Section 27.367611 92.2415 Debris Slide NA
1138,AR/WKG/83A03/2021/038,Arunachal Pradesh,West Kameng Dirang Town Baptist Church Slide 2 Dirang-Rungkhung Road Section,27.368333,92.241583,Debris Slide NA,1138 AR/WKG/83A03/2021/038 Arunachal Pradesh West Kameng Dirang Town Baptist Church Slide 2 Dirang-Rungkhung Road Section 27.368333 92.241583 Debris Slide NA
1139,AP/EK/83E04/2021/41,Arunachal Pradesh,East Kameng Patiwa Village slide-2 NH-38,27.391639,93.011861,Debris Slide NA,1139 AP/EK/83E04/2021/41 Arunachal Pradesh East Kameng Patiwa Village slide-2 NH-38 27.391639 93.011861 Debris Slide NA
1140,AR/WKG/83A03/2021/024,Arunachal Pradesh,West Kameng NH 13 Slide 21 NH 13/ W of Milumkang,27.394306,92.157333,Rock Slide NA,1140 AR/WKG/83A03/2021/024 Arunachal Pradesh West Kameng NH 13 Slide 21 NH 13/ W of Milumkang 27.394306 92.157333 Rock Slide NA
1141,AR/WKG/83A03/2021/023,Arunachal Pradesh,West Kameng NH 13 Slide 20 NH 13/ W of Milumkang,27.395444,92.164167,Debris Slide NA,1141 AR/WKG/83A03/2021/023 Arunachal Pradesh West Kameng NH 13 Slide 20 NH 13/ W of Milumkang 27.395444 92.164167 Debris Slide NA
1142,AR/WKG/83A03/2021/022,Arunachal Pradesh,West Kameng NH 13 Slide 19 NH 13/ W of Milumkang,27.396722,92.163861,Rock Slide NA,1142 AR/WKG/83A03/2021/022 Arunachal Pradesh West Kameng NH 13 Slide 19 NH 13/ W of Milumkang 27.396722 92.163861 Rock Slide NA
1143,AR/WKG/83A03/2021/025,Arunachal Pradesh,West Kameng NH 13 Slide 22 NH 13/ NW of Milumkang,27.403722,92.141056,Debris Slide NA,1143 AR/WKG/83A03/2021/025 Arunachal Pradesh West Kameng NH 13 Slide 22 NH 13/ NW of Milumkang 27.403722 92.141056 Debris Slide NA
1144,AR/WKG/83A03/2021/032,Arunachal Pradesh,West Kameng NH 13 Slide 29 NH 13/ S of Nyakmadung,27.405861,92.133778,Debris Slide NA,1144 AR/WKG/83A03/2021/032 Arunachal Pradesh West Kameng NH 13 Slide 29 NH 13/ S of Nyakmadung 27.405861 92.133778 Debris Slide NA
1145,AR/WKG/83A07/2021/033,Arunachal Pradesh,West Kameng NH 13 Slide 30 NH 13/ S of Nyakmadung,27.409778,92.132167,Soil Slide NA,1145 AR/WKG/83A07/2021/033 Arunachal Pradesh West Kameng NH 13 Slide 30 NH 13/ S of Nyakmadung 27.409778 92.132167 Soil Slide NA
1146,AP/EK/83E03/2021/42,Arunachal Pradesh,East Kameng Patiwa Village slide-3 NH-39,27.411944,93.010528,Debris Slide NA,1146 AP/EK/83E03/2021/42 Arunachal Pradesh East Kameng Patiwa Village slide-3 NH-39 27.411944 93.010528 Debris Slide NA
1147,AP/EK/83E03/2021/43,Arunachal Pradesh,East Kameng Rang Village  slide-1 NH-39,27.411944,93.010528,Debris Slide NA,1147 AP/EK/83E03/2021/43 Arunachal Pradesh East Kameng Rang Village  slide-1 NH-39 27.411944 93.010528 Debris Slide NA
1148,AP/EK/83E03/2021/01,Arunachal Pradesh,East Kameng North Seppa slide-1 North Seppa,27.420722,93.011083,Earth Slide NA,1148 AP/EK/83E03/2021/01 Arunachal Pradesh East Kameng North Seppa slide-1 North Seppa 27.420722 93.011083 Earth Slide NA
1149,AP/EK/83E03/2021/05,Arunachal Pradesh,East Kameng North Seppa slide-5 North Seppa,27.421139,93.017611,Debris Slide NA,1149 AP/EK/83E03/2021/05 Arunachal Pradesh East Kameng North Seppa slide-5 North Seppa 27.421139 93.017611 Debris Slide NA
1150,AP/EK/83E03/2021/04,Arunachal Pradesh,East Kameng North Seppa slide-4 North Seppa,27.422111,93.014639,Soil Slide NA,1150 AP/EK/83E03/2021/04 Arunachal Pradesh East Kameng North Seppa slide-4 North Seppa 27.422111 93.014639 Soil Slide NA
1151,AP/EK/83E03/2021/44,Arunachal Pradesh,"East Kameng Rang Village  slide-2 NH-31, Patiwa Village",27.423722,93.007583,Rock Fall NA,"1151 AP/EK/83E03/2021/44 Arunachal Pradesh East Kameng Rang Village  slide-2 NH-31, Patiwa Village 27.423722 93.007583 Rock Fall NA"
1152,AP/EK/83E03/2021/06,Arunachal Pradesh,East Kameng North Seppa slide-6 North Seppa,27.428833,93.025306,Debris Slide NA,1152 AP/EK/83E03/2021/06 Arunachal Pradesh East Kameng North Seppa slide-6 North Seppa 27.428833 93.025306 Debris Slide NA
1153,AR/WKG/83A03/2021/026,Arunachal Pradesh,West Kameng NH 13 Slide 23 NH 13/ NW of Milumkang,27.433056,92.123583,Soil Slide NA,1153 AR/WKG/83A03/2021/026 Arunachal Pradesh West Kameng NH 13 Slide 23 NH 13/ NW of Milumkang 27.433056 92.123583 Soil Slide NA
1154,AP/EK/83E03/2021/13,Arunachal Pradesh,East Kameng NH-31 slide-4 NH-32,27.436722,93.003639,Debris Slide NA,1154 AP/EK/83E03/2021/13 Arunachal Pradesh East Kameng NH-31 slide-4 NH-32 27.436722 93.003639 Debris Slide NA
1155,AP/EK/83E03/2021/07,Arunachal Pradesh,East Kameng North Seppa slide-7 North Seppa,27.437333,93.029667,Soil Slide NA,1155 AP/EK/83E03/2021/07 Arunachal Pradesh East Kameng North Seppa slide-7 North Seppa 27.437333 93.029667 Soil Slide NA
1156,AP/EK/83E03/2021/02,Arunachal Pradesh,East Kameng North Seppa slide-2 North Seppa,27.441028,93.020389,Soil/Earth Slide NA,1156 AP/EK/83E03/2021/02 Arunachal Pradesh East Kameng North Seppa slide-2 North Seppa 27.441028 93.020389 Soil/Earth Slide NA
1157,AR/WKG/83A03/2021/027,Arunachal Pradesh,West Kameng NH 13 Slide 24 NH 13/ S of Shomtsher,27.441361,92.117417,Debris Slide NA,1157 AR/WKG/83A03/2021/027 Arunachal Pradesh West Kameng NH 13 Slide 24 NH 13/ S of Shomtsher 27.441361 92.117417 Debris Slide NA
1158,AP/EK/83E03/2021/03,Arunachal Pradesh,East Kameng North Seppa slide-3 North Seppa,27.441694,93.021472,Debris Slide NA,1158 AP/EK/83E03/2021/03 Arunachal Pradesh East Kameng North Seppa slide-3 North Seppa 27.441694 93.021472 Debris Slide NA
1159,AR/CHNG/92A07/2022/072,Arunachal Pradesh,"Changlang Deban, Namdapha Natonal Park Miao-Vijyanagar road",27.447181,96.439865,Debris Slide NA,"1159 AR/CHNG/92A07/2022/072 Arunachal Pradesh Changlang Deban, Namdapha Natonal Park Miao-Vijyanagar road 27.447181 96.439865 Debris Slide NA"
1160,AR/CHNG/92A07/2022/073,Arunachal Pradesh,"Changlang Deban, Namdapha Natonal Park Miao-Vijyanagar road",27.449807,96.444466,Debris Slide NA,"1160 AR/CHNG/92A07/2022/073 Arunachal Pradesh Changlang Deban, Namdapha Natonal Park Miao-Vijyanagar road 27.449807 96.444466 Debris Slide NA"
1161,AR/US/82P04/2022/036,Arunachal Pradesh,Upper Siang North of Damro-Gingkong Slide 2 Pasighat-yingkiong road,27.452833,95.239,Debris slide NA,1161 AR/US/82P04/2022/036 Arunachal Pradesh Upper Siang North of Damro-Gingkong Slide 2 Pasighat-yingkiong road 27.452833 95.239 Debris slide NA
1162,AR/CHNG/92A07/2022/074,Arunachal Pradesh,"Changlang Deban, Namdapha Natonal Park Miao-Vijyanagar road",27.453197,96.444944,Debris Slide NA,"1162 AR/CHNG/92A07/2022/074 Arunachal Pradesh Changlang Deban, Namdapha Natonal Park Miao-Vijyanagar road 27.453197 96.444944 Debris Slide NA"
1163,AR/CHNG/92A07/2022/071,Arunachal Pradesh,"Changlang Deban, Namdapha Natonal Park Miao-Vijyanagar road",27.455222,96.440908,Debris Slide NA,"1163 AR/CHNG/92A07/2022/071 Arunachal Pradesh Changlang Deban, Namdapha Natonal Park Miao-Vijyanagar road 27.455222 96.440908 Debris Slide NA"
1164,AR/WKG/83A03/2021/028,Arunachal Pradesh,West Kameng NH 13 Slide 25 NH 13/ NE of Senge,27.456278,92.109556,Debris Slide NA,1164 AR/WKG/83A03/2021/028 Arunachal Pradesh West Kameng NH 13 Slide 25 NH 13/ NE of Senge 27.456278 92.109556 Debris Slide NA
1165,AR/CHNG/92A07/2022/070,Arunachal Pradesh,"Changlang Deban, Namdapha Natonal Park Miao-Vijyanagar road",27.458768,96.440093,Debris Slide NA,"1165 AR/CHNG/92A07/2022/070 Arunachal Pradesh Changlang Deban, Namdapha Natonal Park Miao-Vijyanagar road 27.458768 96.440093 Debris Slide NA"
1166,AR/US/82P04/2022/035,Arunachal Pradesh,Upper Siang North of Damro-Gingkong Slide 1 Pasighat-yingkiong road,27.459167,95.233639,Rock Slide NA,1166 AR/US/82P04/2022/035 Arunachal Pradesh Upper Siang North of Damro-Gingkong Slide 1 Pasighat-yingkiong road 27.459167 95.233639 Rock Slide NA
1167,AP/WK/83E12/2008/A-12,Arunachal Pradesh,West Kameng Slide on Dirang -Tawang road,27.460278,92.110278,Rock Fall 2008,1167 AP/WK/83E12/2008/A-12 Arunachal Pradesh West Kameng Slide on Dirang -Tawang road  27.460278 92.110278 Rock Fall 2008
1168,AR/CHNG/92A07/2022/068,Arunachal Pradesh,"Changlang Deban, Namdapha Natonal Park Miao-Vijyanagar road",27.460656,96.412177,Debris Slide NA,"1168 AR/CHNG/92A07/2022/068 Arunachal Pradesh Changlang Deban, Namdapha Natonal Park Miao-Vijyanagar road 27.460656 96.412177 Debris Slide NA"
1169,AR/CHNG/92A07/2022/069,Arunachal Pradesh,"Changlang Deban, Namdapha Natonal Park Miao-Vijyanagar road",27.460731,96.41975,Soil Slide NA,"1169 AR/CHNG/92A07/2022/069 Arunachal Pradesh Changlang Deban, Namdapha Natonal Park Miao-Vijyanagar road 27.460731 96.41975 Soil Slide NA"
1170,AR/CHNG/92A07/2022/067,Arunachal Pradesh,"Changlang Deban, Namdapha Natonal Park Miao-Vijyanagar road",27.466137,96.407194,Debris Slide NA,"1170 AR/CHNG/92A07/2022/067 Arunachal Pradesh Changlang Deban, Namdapha Natonal Park Miao-Vijyanagar road 27.466137 96.407194 Debris Slide NA"
1171,AR/CHNG/92A07/2022/066,Arunachal Pradesh,"Changlang Deban, Namdapha Natonal Park Miao-Vijyanagar road",27.467849,96.409616,Debris Slide NA,"1171 AR/CHNG/92A07/2022/066 Arunachal Pradesh Changlang Deban, Namdapha Natonal Park Miao-Vijyanagar road 27.467849 96.409616 Debris Slide NA"
1172,AR/CHNG/92A07/2022/065,Arunachal Pradesh,"Changlang Deban, Namdapha Natonal Park Miao-Vijyanagar road",27.470221,96.407798,Rock Fall NA,"1172 AR/CHNG/92A07/2022/065 Arunachal Pradesh Changlang Deban, Namdapha Natonal Park Miao-Vijyanagar road 27.470221 96.407798 Rock Fall NA"
1173,AR/CHNG/92A07/2022/064,Arunachal Pradesh,"Changlang Deban, Namdapha Natonal Park Miao-Vijyanagar road",27.474408,96.408773,Debris Slide NA Sl.No. Slide_No State District Slide_Name NH_SH_Location Latitude Longitude Material Involved Movement Type History,"1173 AR/CHNG/92A07/2022/064 Arunachal Pradesh Changlang Deban, Namdapha Natonal Park Miao-Vijyanagar road 27.474408 96.408773 Debris Slide NA Sl.No. Slide_No State District Slide_Name NH_SH_Location Latitude Longitude Material Involved Movement Type History"
1174,AR/CHNG/92A07/2022/063,Arunachal Pradesh,"Changlang Deban, Namdapha Natonal Park Miao-Vijyanagar road",27.476285,96.40896,Debris Slide NA,"1174 AR/CHNG/92A07/2022/063 Arunachal Pradesh Changlang Deban, Namdapha Natonal Park Miao-Vijyanagar road 27.476285 96.40896 Debris Slide NA"
1175,AR/CHNG/92A07/2022/062,Arunachal Pradesh,"Changlang Deban, Namdapha Natonal Park Miao-Vijyanagar road",27.476614,96.408544,Rock Fall NA,"1175 AR/CHNG/92A07/2022/062 Arunachal Pradesh Changlang Deban, Namdapha Natonal Park Miao-Vijyanagar road 27.476614 96.408544 Rock Fall NA"
1176,AR/CHNG/92A07/2022/061,Arunachal Pradesh,"Changlang Deban, Namdapha Natonal Park Miao-Vijyanagar road",27.479141,96.403435,Debris Slide NA,"1176 AR/CHNG/92A07/2022/061 Arunachal Pradesh Changlang Deban, Namdapha Natonal Park Miao-Vijyanagar road 27.479141 96.403435 Debris Slide NA"
1177,AR/WKG/83A03/2021/029,Arunachal Pradesh,West Kameng NH 13 Slide 26 NH 13/ N of Ngotengnang,27.483667,92.10925,Rock Slide NA,1177 AR/WKG/83A03/2021/029 Arunachal Pradesh West Kameng NH 13 Slide 26 NH 13/ N of Ngotengnang 27.483667 92.10925 Rock Slide NA
1178,AR/WKG/83A03/2021/030,Arunachal Pradesh,West Kameng NH 13 Slide 27 NH 13/ NW of Kalobtse Mani,27.496333,92.104333,Rock Slide NA,1178 AR/WKG/83A03/2021/030 Arunachal Pradesh West Kameng NH 13 Slide 27 NH 13/ NW of Kalobtse Mani 27.496333 92.104333 Rock Slide NA
1179,AR/WKG/83A03/2021/031,Arunachal Pradesh,West Kameng NH 13 Slide 28 NH 13/ NW of Kalobtse Mani,27.497222,92.104667,Debris Slide NA,1179 AR/WKG/83A03/2021/031 Arunachal Pradesh West Kameng NH 13 Slide 28 NH 13/ NW of Kalobtse Mani 27.497222 92.104667 Debris Slide NA
1180,AP/WK/78M14/2008/A-13,Arunachal Pradesh,West Kameng Slide at 5 km SE from Tawang,27.512278,91.875556,NA Flow 2008,1180 AP/WK/78M14/2008/A-13 Arunachal Pradesh West Kameng Slide at 5 km SE from Tawang  27.512278 91.875556 NA Flow 2008
1181,,Arunachal Pradesh,East Kameng Pakke road section slide-1 Pachhi-Pakke road section,27.520111,92.997139,Rock Slide NA,1181 AR/EK/ 83A14/2020-21/01 Arunachal Pradesh East Kameng Pakke road section slide-1 Pachhi-Pakke road section 27.520111 92.997139 Rock Slide NA
